order_id,customer_name,email,product,category,price,quantity,order_date,revenue
1,Alice M.,alice@example.com,Laptop,Technology,12000,1.0,2026-02-01,12000.0
2,Brian K.,brian@example.com,Monitor,Technology,3500,1.0,2026-02-02,3500.0
3,Chris N.,chris@example.com,Keyboard,Office Supplies,600,1.0,2026-02-04,600.0
4,Dineo S.,dineo@example.com,Mouse,Office Supplies,250,2.0,2026-02-01,500.0
5,Ethan P.,ethan@example.com,USB-C Cable,Office Supplies,150,3.0,2026-02-03,450.0
6,Unknown,frank@example.com,Laptop,Technology,12000,1.0,2026-02-05,12000.0
7,Grace T.,grace@example.com,Monitor,Technology,3500,1.0,2026-02-06,3500.0
8,Henry W.,henry@example.com,Keyboard,Office Supplies,600,1.0,2026-02-07,600.0
9,Isabella R.,isabella@example.com,Mouse,Office Supplies,250,2.0,,500.0
10,James L.,james@example.com,USB-C Cable,Office Supplies,150,3.0,2026-02-09,450.0
11,Kabelo N.,kabelo@example.com,Laptop,Technology,12000,1.0,2026-02-10,12000.0
12,Lerato P.,lerato@example.com,Monitor,Technology,3500,1.0,2026-02-11,3500.0
