order_id,customer_name,email,product,price,quantity,order_date
1,Alice M.,alice@example.com,Laptop,12000,1,2026-02-01
2,brian k.,brian@example.com,Monitor,3500,1,2026-02-02
3,Chris N.,chris@example.com,Keyboard,600,1,2026-02-04
4,Dineo S.,dineo@example.com,Mouse,250,2,2026-02-01
5,Ethan P.,ethan@example.com,USB-C Cable,150,3,2026-02-03
6,Alice M.,alice@example.com,Laptop,12000,1,2026-02-01
7,,missing@email.com,Monitor,3500,1,2026-02-10
8,Chris N.,chris@example.com,Keyboard,-600,1,2026-02-04
9,Dineo S.,dineo@example.com,Mouse,250,,2026-02-12
10,Brian K.,brian@example.com,Monitor,3500,1,2026-02-02
